wavelength(nm)	flourescence PD(V)	ti_saph Power (V)
799.4653885600891	-0.0070000000000000045	8.520266666666666
801.1752282953937	-0.000833333333333334	8.52
802.8882636760544	-0.0009000000000000008	8.52
804.5128477481172	-0.0005000000000000004	8.519866666666667
802.8828747211573	-0.000833333333333334	8.52
807.8849885655319	-0.0005000000000000004	8.519733333333333
804.5134049632967	-0.0007000000000000006	8.52
807.5885768120719	-0.0004333333333333337	8.52
808.3617514038863	-0.0004666666666666671	8.52
811.4951751819417	-0.0014333333333333346	8.52
808.5163722837951	-0.0004666666666666671	8.52
811.3878675407897	-0.0005000000000000004	8.52
814.0226461500745	-0.001200000000000001	8.52
811.8738057629972	-0.0010000000000000009	8.52
814.7129857124311	-0.0010333333333333342	8.52
815.3058955341766	-0.001266666666666668	8.52
817.6478099461686	-0.0015333333333333347	8.52
815.3972560013345	-0.001366666666666668	8.52
818.6699487378403	-0.0020666666666666685	8.52
821.8596142306076	-0.0015000000000000013	8.52
819.7236486976882	-0.001566666666666668	8.52
821.9970056577771	-0.002766666666666669	8.52
823.8660396553317	-0.002133333333333335	8.52
822.1620821411694	-0.001666666666666668	8.52
825.3838921612129	-0.001466666666666668	8.52
824.6745238997596	-0.0030666666666666694	8.52
828.244754303192	-0.0020000000000000018	8.52
825.5843636941671	-0.0023333333333333353	8.520133333333334
833.6320362668778	-0.0011333333333333343	8.520133333333334
825.6985527174365	-0.0008666666666666674	8.52
830.945273562709	-0.0016333333333333347	8.52
832.727029470493	-0.001666666666666668	8.52
831.493072524884	-0.000833333333333334	8.520266666666668
833.97071332226	-0.0008000000000000007	8.5204
836.1441219608053	-0.0020666666666666685	8.520266666666666
835.0020583743166	-0.002133333333333335	8.52
836.7549603106111	-0.001833333333333335	8.5204
837.9684328799932	-0.001100000000000001	8.520133333333334
839.7864206732961	-0.0011666666666666676	8.520266666666666
838.2205392121512	-0.002200000000000002	8.52
841.1694598011028	-0.001933333333333335	8.5204
843.2533528177678	-0.0018000000000000017	8.520133333333334
841.8879785191318	-0.001200000000000001	8.5204
843.5760826341245	-0.0017000000000000014	8.52
845.4734772025528	-0.0019000000000000017	8.5204
844.5324291354603	-0.002966666666666669	8.52
847.6247989757404	-0.0028000000000000026	8.52
845.6623716400827	-0.0007000000000000006	8.520133333333334
848.8974143809049	-0.000733333333333334	8.520133333333334
852.0032441606105	-0.001100000000000001	8.5204
849.855806503311	-0.001466666666666668	8.521333333333335
852.3295043628018	-0.0010333333333333342	8.521333333333335
853.4153083161553	-0.001366666666666668	8.520933333333334
852.5015406213824	-0.000833333333333334	8.521333333333335
856.0806529536361	-0.0006666666666666673	8.5212
854.4521063985676	-0.0004333333333333337	8.5212
856.7028054831558	-0.0014333333333333346	8.520800000000001
859.7341895945682	-0.001566666666666668	8.520933333333334
856.6832420914345	-0.0009333333333333342	8.520266666666668
860.2879706220584	-0.0016333333333333347	8.52
862.5907121551467	-0.0011333333333333343	8.5208
860.304010591514	-0.000633333333333334	8.5204
862.6936804943682	-0.0012333333333333343	8.5204
864.4609696371846	-0.0010666666666666676	8.520533333333333
866.5558075715438	-0.0007000000000000006	8.520933333333334
864.8869333754579	-0.0020000000000000018	8.520133333333334
867.7956431511608	-0.0017666666666666683	8.520666666666667
864.5662739936212	-0.0016333333333333347	8.520133333333334
871.7212386466321	-0.0010666666666666676	8.520533333333335
868.4116864406122	-0.001833333333333335	8.520266666666666
871.8329696318748	-0.0018000000000000017	8.520133333333334
868.4631332191535	-0.0009333333333333342	8.52
878.3038252597219	-0.002933333333333336	8.520133333333334
872.6692647587449	-0.001833333333333335	8.520133333333334
875.8521170199326	-0.0026333333333333356	8.520133333333334
876.6144244478729	-0.002566666666666669	8.52
878.559044980087	-0.002200000000000002	8.520266666666666
876.5259410096152	-0.001966666666666668	8.52
880.2751989794127	-0.0018000000000000017	8.520266666666666
879.7022999874583	-0.0015000000000000013	8.52
882.6063805792744	-0.0012333333333333343	8.52
880.8508604794245	-0.0010666666666666676	8.520133333333334
885.421229060252	-0.0005000000000000004	8.520133333333334
880.6179278023175	-0.00040000000000000034	8.52
885.3046388249571	-0.0004666666666666671	8.52
888.6512549365708	-0.001200000000000001	8.52
884.4401374789098	-0.0010666666666666676	8.520266666666666
888.0638976189077	-0.0009666666666666675	8.520133333333334
889.2804910100276	-0.0005666666666666671	8.52
892.818120624614	-0.000733333333333334	8.52
888.9069553502679	-0.0011333333333333343	8.52
892.6810559725412	-0.001666666666666668	8.520133333333334
893.7292266600581	-0.0016000000000000014	8.520133333333334
896.7143204789932	-0.001200000000000001	8.52
893.0291053703158	-0.001933333333333335	8.52
897.0706936625701	-0.0008666666666666674	8.52
895.2767631588006	-0.0008000000000000007	8.52
898.0305228468955	-0.0014333333333333346	8.52
900.8584429044785	-0.0008000000000000007	8.52
899.6579919723819	-0.001266666666666668	8.52
