wavelength(nm)	flourescene PD(V)	ti_saph Power (V)
799.5548818311524	0.004466666666666671	4.8621333333333325
801.6460349586107	0.0022666666666666686	4.424133333333334
803.994397824271	0.006633333333333339	4.925066666666667
801.3543934355507	0.005900000000000005	4.497733333333333
804.2255688924807	0.008466666666666674	5.093066666666667
807.3990723470417	0.008066666666666673	5.024400000000001
804.8990011581723	0.003133333333333336	4.8751999999999995
807.5843604525346	0.006500000000000006	5.056133333333334
810.791625404162	0.005133333333333338	5.0988
808.2829216700467	0.006500000000000006	4.825733333333333
810.7914809484521	0.00853333333333334	4.941866666666667
811.8700701299317	0.005933333333333338	5.053466666666666
813.9173901476231	0.006833333333333339	4.965066666666667
811.6923216693498	0.006000000000000005	5.171866666666666
815.4082573715099	0.005600000000000005	5.058
814.0380084592323	0.006500000000000006	4.723733333333333
818.2699069224951	0.005300000000000004	5.3368
815.4047165666332	0.005433333333333338	5.452800000000001
818.8546839887947	0.009800000000000008	5.896933333333333
821.859901346415	0.009100000000000007	5.633333333333334
819.9125916584138	0.009566666666666676	5.218
822.1139897103589	0.007100000000000006	5.630933333333333
824.1800888105884	0.007800000000000007	6.065466666666667
822.1678084238089	0.008100000000000008	6.1208
825.3893711879161	0.007000000000000006	5.685333333333333
824.171594260341	0.005633333333333338	5.784666666666666
826.7038122364656	0.009133333333333342	5.862800000000001
829.2531042696129	0.008966666666666673	6.071466666666667
827.2748603929117	0.009100000000000007	6.055866666666666
830.887418468425	0.006100000000000006	6.1264
829.5084094829346	0.00713333333333334	6.282533333333334
832.9438530151837	0.008300000000000007	6.4072
831.2911770830073	0.004966666666666671	6.479066666666667
834.2362130222758	0.010066666666666675	6.424533333333334
832.9935809469616	0.008500000000000008	6.509733333333333
836.7647272660402	0.009066666666666674	6.43
835.1057350643403	0.007833333333333341	6.394133333333334
837.9718182839155	0.00833333333333334	6.848
840.1018233182829	0.009133333333333342	6.888533333333333
838.4366619412841	0.006666666666666672	6.659866666666667
842.3239760974737	0.008633333333333342	6.83
840.4573016361142	0.008733333333333341	6.768000000000001
843.2628991896137	0.007400000000000006	6.959066666666666
845.1594784788615	0.009433333333333342	6.947866666666667
844.6324574453408	0.00753333333333334	7.117733333333333
847.0802579217983	0.009800000000000008	7.139066666666667
845.3520493552647	0.00853333333333334	6.7736
849.0671217797528	0.012833333333333344	7.0857333333333345
848.565937949798	0.013033333333333345	7.119066666666666
851.1522736499995	0.02223333333333335	7.235866666666666
848.9742512682967	0.014100000000000014	7.265600000000001
852.8783154195512	0.8798333333333332	7.2692000000000005
855.0254649506162	1.9297000000000002	7.265066666666669
853.1150841935621	1.5957333333333334	7.088533333333333
855.8822041926359	2.4546666666666668	7.3968
856.617208959279	2.46	7.4661333333333335
859.6884999993731	2.46	7.482400000000001
856.8961877847495	2.46	7.3088000000000015
860.6493776788338	2.46	7.6584
856.9874562263166	2.459766666666667	7.023733333333333
