wavelength(nm)	flourescence PD(V)	ti_saph Power (V)
798.0864730213983	-0.15330666666666665	4.630933333333333
802.7086133346701	-0.1775333333333333	4.592666666666667
801.1771642166523	-0.17313333333333328	4.365200000000001
804.2293515408187	-0.19071999999999995	4.574266666666667
801.6478439065412	-0.1788266666666666	4.7204
807.4080845198187	-0.1988666666666666	4.793466666666666
804.9436766933633	-0.18974666666666662	4.9364
807.4931472638356	-0.20107999999999995	5.064266666666667
810.7918943161602	-0.20571999999999996	4.781733333333333
808.2793531939778	-0.20265333333333327	4.898666666666666
811.2108500073093	-0.20495999999999995	4.8892
811.969847544917	-0.20235999999999996	5.087733333333333
814.2277864859275	-0.2103866666666666	4.881866666666666
811.8261347492297	-0.20435999999999996	5.074933333333333
814.7224080653214	-0.20911999999999997	4.895066666666667
819.8658551261523	-0.22638666666666665	5.215866666666668
816.2582689301428	-0.21879999999999997	5.381333333333334
818.5789685936071	-0.22101333333333334	5.317066666666667
819.8688136276269	-0.22978666666666664	5.320666666666667
819.0824263077296	-0.22422666666666666	5.773466666666667
821.8646591387934	-0.2496133333333333	5.406933333333333
819.9123261733475	-0.23841333333333334	5.432533333333334
824.0341428904707	-0.27461333333333326	6.0822666666666665
821.9615940587018	-0.26417333333333326	6.0254666666666665
827.8241279261025	-0.3410666666666666	5.8328
824.3867562983347	-0.30203999999999986	5.752666666666666
827.9963705688409	-0.3312799999999999	5.773466666666667
825.6586408109716	-0.31175999999999987	5.953733333333333
829.2491001580975	-0.3637733333333333	6.067733333333334
830.4744640727672	-0.40109333333333325	5.9639999999999995
