wavelength(nm)	photodiode(V)	power(W)
772.1595239938631	0.8559333333333334	0.0010100681
776.4989315790889	0.9272000000000001	0.001094674
778.3824092862466	0.9745666666666667	0.0010281327
777.2198164063195	0.9585	0.00096586015
780.80737110843	1.1123000000000003	0.0012801312
777.2198178047917	0.9986666666666667	0.0010812541
781.7899858279717	1.0023666666666669	0.0011181594
783.974967251522	1.1752666666666667	0.0013449562
781.5305159699434	1.0282666666666667	0.0012636028
784.8814407703952	1.1036333333333335	0.0012389607
787.0812367496183	1.2171333333333332	0.0013879312
784.7949153702558	1.1162	0.0012862581
787.17064161896	1.2026333333333332	0.0013607786
788.1881917333164	1.1938333333333333	0.0014096437
790.6761559360439	1.1536333333333335	0.0012695732
788.1873252312828	1.2187000000000001	0.0014130541
793.83486370458	1.3008	0.0013954913
791.5099899322893	1.3204	0.0015624653
793.8339150708522	1.2303000000000002	0.0013899856
794.6678077677368	1.3146	0.0015798586
797.9576785286982	1.3740666666666668	0.0015154559
795.8891067102566	1.381	0.0016354775
797.7608740053684	1.4206666666666667	0.0016415174
799.187886132585	1.3981333333333332	0.0016828028
797.7608834029664	1.4088666666666665	0.001625444
800.5052760206491	1.4344666666666668	0.0016392362
801.3395839108459	1.4431666666666667	0.0016539617
803.8167571227189	1.4641	0.0016534781
801.6544929626801	1.4506000000000001	0.0015665181
804.3388170344065	1.4612666666666667	0.0016753394
808.3389618914475	1.4330333333333332	0.0015890057
804.5162407066155	1.4456666666666667	0.0016291825
807.2692468391226	1.5013666666666667	0.0017397158
808.3389569344411	1.4353333333333333	0.0016163874
810.4750999740188	1.5888666666666666	0.0017746988
808.338970239357	1.5119000000000002	0.0016055224
811.4469708081267	1.5498999999999998	0.0017663357
815.2823915373656	1.5909666666666669	0.0016678084
811.8385667558562	1.5821	0.0017215934
814.7748472032275	1.5895000000000001	0.001733926
815.2812509972615	1.5798333333333334	0.0016164128
817.4542415908261	1.5788666666666666	0.0016546632
816.2674942891275	1.5553333333333335	0.0015841494
818.7465025174367	1.6332666666666666	0.0015897648
820.9340773302347	1.6813	0.0018016245
818.7466701816834	1.6935	0.0015760894
822.1631317684312	1.7445666666666666	0.001777049
824.3431623873099	1.8896666666666666	0.0018681047
821.8273643981565	1.6927	0.0017265779
824.7470594807994	1.8816000000000002	0.0018498703
829.9288354366101	1.8758333333333332	0.0017833407
825.6541527401334	1.7560333333333331	0.0016596449
828.6026804812498	1.7957333333333334	0.0016959043
826.9782236442734	1.7743000000000002	0.001668515
829.4164149600302	1.9175333333333333	0.0017948216
831.1576525153769	1.8834666666666666	0.0017533931
830.4387549759174	1.8651666666666669	0.0017510067
833.3158178025867	1.9463333333333332	0.0018004215
835.3946661377836	1.989766666666667	0.0018318775
834.0501729174691	2.0239333333333334	0.0019170184
837.0573669533453	2.073633333333333	0.0019753422
836.3214063418869	2.0952666666666664	0.0020177234
837.7763154754929	2.2159	0.0020843889
839.3900119734282	2.296733333333333	0.0021403558
842.9138080789819	2.2966333333333333	0.0020190554
839.2396707318727	2.2133666666666665	0.0019022372
851.3448944708039	2.2631333333333337	0.0020616518
841.442811900469	2.2264	0.0019375533
844.5051721405464	2.3083	0.001911421
843.1316949652601	2.2924333333333333	0.0018674025
848.5450745992789	2.2837666666666667	0.0018828579
845.3556648838334	2.2746999999999997	0.0018484665
848.5511014867684	2.3286666666666664	0.0019164336
846.7374374932335	2.2911333333333337	0.0018594291
852.0938425089167	2.540033333333333	0.0021296502
848.754473162571	2.5650666666666666	0.0020045461
852.403206713582	2.6199	0.0021517014
854.5749147361429	2.6716333333333333	0.0021711325
852.9396505462753	2.6822	0.0021911075
854.5703368443366	2.5938666666666665	0.0021162152
855.9830927376368	2.7332333333333336	0.0021620987
856.8576562643055	2.6124333333333336	0.002001971
859.929907851638	2.5613	0.0019980243
858.5003807418062	2.542266666666667	0.0019369852
860.2682893806297	2.586866666666667	0.0019885506
860.9222196738206	2.7070666666666665	0.002252596
863.913857364621	2.7532333333333336	0.0020964053
861.2500078364778	2.7874666666666665	0.0021779088
863.8021236609085	2.7895333333333334	0.0021280744
867.6874241891041	2.8376	0.0022692487
864.9054379619764	2.631266666666667	0.0019225256
867.9085234012513	2.8522999999999996	0.0022267795
866.4576695703116	2.7603666666666666	0.0019093455
871.8449896086601	2.5558333333333336	0.0018967038
869.0411551471166	2.642833333333334	0.0021724643
871.9613393747767	2.5458	0.0018487226
870.379676686059	2.6459666666666664	0.0021008539
875.8225233198865	2.664433333333333	0.0019391637
872.9816109346328	2.714366666666667	0.0020161734
875.8163843600986	2.7123333333333335	0.0020192154
872.7577648313248	2.7681333333333336	0.0020637219
879.8124376965089	2.8450333333333333	0.0022337083
876.3799117819757	2.8651999999999997	0.0020749997
879.7030733238865	2.850333333333333	0.0022241967
876.6179201491511	2.6277666666666666	0.0019235752
880.9874767727	2.5735333333333332	0.0018544586
880.7460452521182	2.576166666666667	0.0018759131
884.3280295152343	2.5566999999999998	0.0018519387
882.5897946891223	2.609833333333333	0.0019377486
884.7951884061023	2.641266666666667	0.0021574451
887.9762487742364	2.8038333333333334	0.0020698193
886.658449901819	2.8742666666666667	0.0021809037
888.3052242953507	2.8945000000000003	0.0021452073
