wavelength(nm)	photodiode(V)	power(W)
746.4335744319966	-0.021333333333333353	5.0674422e-05
747.3282445772649	1.1318666666666666	0.0013705863
748.4046769534999	1.2870666666666666	0.0014249143
750.3059159902411	1.3928	0.0016732099
748.5621560045442	1.3974666666666666	0.0016632427
756.0959910995226	1.9040000000000001	0.0023333209
750.4841793059666	1.5174666666666667	0.0017951151
753.4068493851307	1.8057333333333334	0.0019983994
754.2053126861474	1.6794666666666667	0.0019598184
756.0982238698758	1.8388	0.0020657729
757.1153107799556	1.9021333333333332	0.002243238
759.066380300284	1.9141333333333335	0.0021066677
756.3549718709319	1.8470666666666666	0.0018990489
761.8920620378791	1.9114666666666664	0.0022104802
759.4077693092786	1.8292	0.0020539525
761.8917589168833	1.9510666666666665	0.0022934349
763.1752461373069	2.1477333333333335	0.002656176
766.0302852804899	2.2305333333333337	0.00258767
764.030849371628	2.206	0.0023677158
765.338701070662	2.174	0.0024681052
768.1129473397378	2.4768	0.0029792043
766.3645901763836	2.3958666666666666	0.0026785876
768.9776107684862	2.4158666666666666	0.0027803632
771.1758524128777	2.5828000000000007	0.0031543518
769.1267939599107	2.4137333333333335	0.0027730968
772.2392089687961	2.5860000000000003	0.0030230032
775.4216948805336	2.7741333333333333	0.0033949649
772.3245105044199	2.5421333333333336	0.0028521607
774.5400033114902	2.694	0.0030818158
775.4226548298959	2.6561333333333335	0.003047009
777.4682570373045	2.714933333333333	0.0033168332
775.506838948146	2.682266666666667	0.0030146127
778.5477141883346	2.809066666666667	0.0032585834
780.5222279547255	3.024	0.0036333106
778.5477247607646	3.0196	0.0032151903
781.7830516192496	2.9241333333333333	0.00358214
783.9688268679466	3.1151999999999997	0.0036680962
781.7807632674645	3.0088000000000004	0.0034186263
784.7893078247455	3.2641333333333336	0.0039346339
786.5835999651065	3.2192	0.003606898
784.9191011103993	3.2628	0.0037887341
788.072991828856	3.4060000000000006	0.004019767
790.4731409292859	3.233866666666667	0.003348646
788.3564786603113	3.308266666666667	0.0038405573
790.7567107227957	3.196266666666667	0.003734896
794.6652467720215	3.3132000000000006	0.0036953616
791.4994450266051	3.453066666666667	0.0037843804
794.0056438078321	3.5001333333333333	0.0042358344
794.7126693981886	3.442133333333333	0.0037058594
797.2891478657274	3.5708	0.0043730112
794.8443006121788	3.493733333333333	0.0037386671
798.0433730243883	3.370266666666667	0.0038044052
799.5552953624018	3.3672000000000004	0.0038527884
801.3580181858932	3.4685333333333332	0.0038298357
798.1308224284481	3.4544000000000006	0.0037089738
802.9766542210322	3.6872000000000003	0.0041470807
801.3565535757848	3.809333333333333	0.0042976905
803.834941635673	3.739866666666667	0.0041547613
804.6966369363638	3.892533333333333	0.0045880708
806.1513550457931	3.9903999999999997	0.0046776198
808.1307835964512	3.9280000000000004	0.004518704
807.4897348147759	3.9658666666666664	0.0043588518
809.6906726940337	3.783333333333333	0.0040859785
808.3347695587787	3.7360000000000007	0.0044136224
811.6710506559202	3.9709333333333334	0.0042302702
813.0083860861212	3.9124	0.0044443966
811.7617159627061	3.8741333333333343	0.0040395446
813.9818437178213	3.825333333333333	0.0043921759
815.3003789457682	4.122933333333334	0.0046783104
817.639346822899	4.380933333333334	0.0047870995
815.3993143177562	4.346000000000001	0.0046461406
818.7362546312548	4.189866666666667	0.0042208331
821.8539549410561	4.1848	0.0047663823
818.6220371543881	4.2204	0.0042410935
821.8296450840123	4.335600000000001	0.0045048776
823.4612623884661	4.448666666666668	0.0047362628
822.2302250242834	4.567866666666667	0.0049364287
824.9773093618443	4.666133333333334	0.0049542445
824.4793700180734	4.590400000000002	0.0044829054
826.3884942172231	4.739066666666668	0.0048352298
830.4681548072897	4.6925333333333334	0.0045554689
826.054798393475	4.559333333333334	0.0044159624
829.4434977889478	4.784400000000001	0.0044339611
830.4778004721148	4.683066666666666	0.0045598988
832.724924717581	4.844133333333334	0.0046587549
831.9024674072141	4.987466666666666	0.0050955033
833.9266911901359	5.1196	0.0047441903
835.8257000710496	5.135066666666667	0.0046607223
834.8946831849519	5.170533333333333	0.0051144147
