wavelength(nm)	flourescence PD(V)	ti_saph Power (V)
748.5001281841212	-0.06043333333333337	1.5381333333333336
751.233937290716	-0.05963333333333337	1.6173333333333333
753.1522210538574	-0.0591666666666667	1.6578666666666668
751.2327168636883	-0.05866666666666671	1.6638666666666666
756.0188510991879	-0.059400000000000036	1.8670666666666667
754.0820641780134	-0.05963333333333337	1.8550666666666666
756.3577578706249	-0.059400000000000036	1.7596
758.1406752723923	-0.05880000000000004	1.8704
756.2746476162329	-0.05736666666666669	1.8473333333333335
759.2439740828289	-0.05833333333333337	1.9676
762.0551052555336	-0.0590666666666667	2.167733333333333
759.4067940616288	-0.05923333333333337	2.0006666666666666
762.8283239695168	-0.05930000000000005	2.070533333333333
764.9907390958607	-0.05980000000000004	2.3464
762.8281597207654	-0.05850000000000004	2.0555999999999996
767.3281404621943	-0.05856666666666669	2.206266666666667
765.8524779593856	-0.05743333333333337	2.1673333333333336
768.1558296021412	-0.05790000000000004	2.381466666666667
768.7315437219585	-0.058566666666666704	2.558
769.3309127769728	-0.056833333333333375	2.4074666666666666
771.8839201783177	-0.05843333333333336	2.5128
770.3053211520844	-0.05863333333333337	2.5124
774.5967672209873	-0.05890000000000003	2.5136
771.849224096136	-0.058933333333333365	2.384533333333333
775.3781860123943	-0.059433333333333366	2.6437333333333335
773.3884838542863	-0.05863333333333337	2.704133333333334
779.9913464713994	-0.059600000000000035	2.7708
776.5778335806157	-0.058000000000000045	2.7297333333333333
778.4630969350926	-0.059133333333333364	2.7993333333333332
779.6332564825566	-0.06120000000000003	2.7397333333333336
781.2483800658437	-0.06043333333333337	2.8504000000000005
781.8896154436454	-0.061200000000000025	2.870533333333334
784.5101740091867	-0.05923333333333337	2.975066666666667
783.069162744954	-0.06023333333333336	3.167066666666667
784.6993069078252	-0.06076666666666669	3.02
787.6220797036518	-0.06120000000000003	3.2857333333333334
786.4296767036045	-0.0624666666666667	3.207466666666667
787.9890619957184	-0.06106666666666669	3.2464000000000004
789.4686309400075	-0.06213333333333336	3.4029333333333334
791.218044938792	-0.06400000000000002	3.388266666666667
789.4669232131289	-0.061733333333333355	3.3581333333333334
792.71099671329	-0.06460000000000002	3.4112
791.2159157587332	-0.06380000000000002	3.392266666666667
794.5772851328735	-0.06450000000000003	3.3352000000000004
792.7985891514417	-0.06313333333333335	3.4032000000000004
795.9745290580394	-0.06553333333333335	3.447600000000001
799.4727047736469	-0.06813333333333335	3.4096
797.1078465727454	-0.06646666666666669	3.6233333333333335
799.4716271499448	-0.06753333333333335	3.409333333333334
801.2660813601356	-0.06870000000000001	3.5085333333333333
800.5034040893188	-0.07016666666666667	3.589333333333334
802.7961315175104	-0.07003333333333334	3.664666666666667
801.3541712340926	-0.06936666666666667	3.7808
804.7022164371128	-0.0713	3.724
803.7458111797406	-0.07173333333333334	3.722533333333334
806.1451940635012	-0.075	4.0658666666666665
808.037842881411	-0.07673333333333332	3.9645333333333337
807.4037436488301	-0.07636666666666665	4.0242666666666675
812.3883290349578	-0.0768	3.8442666666666665
811.5312599555468	-0.08153333333333332	4.100133333333333
808.2672034002591	-0.07423333333333333	3.7802666666666664
813.1462884190599	-0.08256666666666664	3.9289333333333336
811.7395842047385	-0.08266666666666665	3.898
815.0063517945547	-0.08749999999999998	3.9464
813.1428611962763	-0.08529999999999999	3.9234666666666667
817.4499687229815	-0.08989999999999998	4.1488
814.7721890347532	-0.08763333333333331	4.009733333333333
818.6659669078585	-0.09979999999999999	4.4278666666666675
820.834473088711	-0.10486666666666666	4.3948
818.7389541530025	-0.10499999999999998	4.386000000000001
820.9562577269588	-0.10396666666666664	4.2485333333333335
822.2260014309917	-0.11026666666666667	4.574933333333333
824.3392547998468	-0.11673333333333331	4.412666666666667
822.4606977096377	-0.11673333333333331	4.436533333333334
825.6521792403986	-0.1254333333333333	4.744800000000001
829.5136809651219	-0.14463333333333334	4.7368
826.7717209007357	-0.13410000000000002	4.744400000000001
828.292443837036	-0.1399	4.847733333333334
830.0585542473827	-0.14856666666666668	4.776400000000001
828.837885816535	-0.1443666666666667	4.641333333333334
