wavelength(nm)	flourescence PD(V)	ti_saph Power (V)
748.6563605472365	-0.019466666666666684	1.5805333333333333
751.1524976354119	-0.01990000000000002	1.6337333333333333
753.4858775560348	-0.020166666666666683	1.8750666666666667
752.394704174426	-0.019966666666666685	1.8596
755.1771949739579	-0.02013333333333335	1.7808
753.4859713130052	-0.020000000000000018	1.794533333333333
756.0953311846363	-0.020200000000000017	1.976266666666667
759.1618315689179	-0.024333333333333353	2.1248
756.355277539838	-0.020266666666666686	1.9374666666666667
759.1447821707605	-0.02280000000000002	2.0437333333333334
760.1693762653346	-0.023300000000000022	2.0256000000000003
762.1360859459694	-0.036633333333333365	2.3244000000000002
760.1693755319859	-0.02990000000000003	2.182933333333333
763.1730206420831	-0.04083333333333337	2.1081333333333334
765.4176343445287	-0.05310000000000004	2.3457333333333334
763.1729320826674	-0.044600000000000035	2.205066666666667
768.1097433491142	-0.07160000000000007	2.4181333333333335
766.3624215614316	-0.06503333333333339	2.3569333333333335
768.0284503691208	-0.08206666666666675	2.504666666666667
771.094440606932	-0.0912333333333334	2.5457333333333336
769.3280664594539	-0.08396666666666673	2.457066666666667
771.1769752555174	-0.08953333333333341	2.5449333333333333
772.3238645144114	-0.10396666666666667	2.594133333333333
774.3475380610448	-0.11896666666666667	2.584
772.3231675034393	-0.10433333333333335	2.552
775.4216960429623	-0.13253333333333336	2.6266666666666665
777.3825230025711	-0.1436	2.6941333333333333
775.5051348876328	-0.13746666666666668	2.6452
778.6337733062	-0.16220000000000004	2.8845333333333336
780.8788786467203	-0.18446666666666672	2.906933333333333
778.5494645430967	-0.18913333333333338	2.972266666666667
781.6113252976606	-0.1964333333333334	2.9084
784.9583979964527	-0.2197333333333334	3.085066666666667
781.8852771687215	-0.21426666666666672	3.0248000000000004
784.4189360867947	-0.22046666666666673	3.0509333333333335
786.7449291096591	-0.2619666666666667	3.326133333333334
785.150857480433	-0.2546666666666667	3.355066666666667
787.4402019988028	-0.2586666666666667	3.3150666666666675
790.6669091622794	-0.2898666666666667	3.2717333333333336
788.2671868589853	-0.3015333333333334	3.557066666666666
790.6692240570432	-0.2918	3.2581333333333333
791.4972119015127	-0.3288333333333333	3.557733333333334
793.5406312930404	-0.3328333333333333	3.5416
791.5866344215465	-0.3285	3.5176000000000007
794.6625357481057	-0.357	3.549333333333334
797.285147040584	-0.40386666666666665	3.7390666666666665
794.8460071857695	-0.4071333333333334	3.751733333333333
798.0401002443605	-0.39873333333333333	3.5424
800.4113628029803	-0.46416666666666667	3.875600000000001
798.3308572587353	-0.4279666666666667	3.6597333333333335
800.59395432491	-0.42543333333333333	3.6351999999999998
801.3569164878613	-0.43520000000000003	3.518533333333333
804.12532400632	-0.4804	3.6634666666666664
801.3531106766015	-0.45916666666666667	3.6764
804.8932358019246	-0.5410999999999999	3.9188000000000005
807.105680770875	-0.5526	4.152533333333333
804.8952216697184	-0.5646333333333334	4.056533333333333
808.2632097993164	-0.5835666666666667	4.0232
810.7894976076227	-0.5884666666666667	4.024933333333333
808.3632222428337	-0.5722666666666667	4.281066666666667
810.7863997670908	-0.6279	4.259466666666667
811.8279448692606	-0.6359333333333335	4.318533333333333
814.0207013847288	-0.6177333333333334	4.135866666666668
811.8283580953128	-0.6300666666666666	4.182266666666668
815.2987528909161	-0.6208	4.0338666666666665
818.266233763218	-0.7485999999999999	4.5208
815.3938104916309	-0.7305	4.527866666666667
818.2662886762337	-0.7343666666666667	4.5225333333333335
819.8225437651369	-0.7495666666666667	4.3773333333333335
818.2664621702464	-0.7518666666666667	4.4130666666666665
821.8527951725314	-0.8286666666666668	4.683733333333333
820.6198212501929	-0.8332000000000002	4.712133333333333
823.5307508307214	-0.8087000000000001	4.540666666666667
822.1550683779739	-0.8015	4.484400000000001
825.0740703473784	-0.8117666666666667	4.514266666666668
828.8309306296145	-0.8281000000000002	4.782266666666667
825.6503630717243	-0.8540333333333334	4.8072
828.8306475587469	-0.8303000000000001	4.787866666666667
828.0260716489538	-0.8239666666666666	4.7568
830.1599107243958	-0.8159666666666666	4.823466666666667
833.9628704539723	-0.8465333333333334	5.078799999999999
831.0788612855636	-0.8580333333333332	5.116266666666667
833.0371478111022	-0.8817333333333333	5.280266666666667
833.9604270124634	-0.8779666666666667	5.259600000000001
836.2432246008547	-0.9071	5.414133333333333
834.6278146544262	-0.9306333333333333	5.5524000000000004
836.7996414987623	-0.9008	5.383733333333333
838.0063230628157	-0.9545333333333333	5.648666666666666
839.4630101265728	-0.9686666666666668	5.662133333333333
841.3597701508061	-0.9913	5.7965333333333335
840.6220863028726	-0.9641333333333334	5.688666666666666
843.2528113932966	-1.0052666666666668	6.005466666666667
841.7388094123048	-0.9953666666666667	5.908933333333333
845.0515114877292	-0.9879333333333333	6.084533333333333
844.6243729628327	-1.0510333333333333	6.4032
848.3517362106986	-0.9655333333333332	6.047199999999999
845.5828962636888	-0.9337000000000001	5.776266666666666
848.3508982352596	-0.9638	6.014399999999999
849.103522798572	-0.9383999999999999	5.994133333333333
850.9252758753655	-0.9885333333333335	6.4530666666666665
849.4898916730854	-1.0321	6.661333333333333
854.9946387325198	-0.9672000000000001	6.856266666666667
852.4333247431753	-0.9995333333333334	6.802533333333333
856.1224718965822	-0.9538000000000001	6.9235999999999995
853.4088144792709	-0.9469999999999998	6.682133333333334
856.1233651752159	-0.9570666666666667	6.8704
858.6988882030663	-0.8828333333333334	7.003333333333333
856.9416064572151	-0.8861333333333334	6.810933333333334
860.6105750067604	-0.7552333333333333	6.7692000000000005
