wavelength(nm)	flourescene PD(V)	ti_saph Power (V)
848.7285080429509	1.719446698203683	4.537439968436956
852.9458176837152	1.6458356156945229	5.124518312513828
849.503744486777	1.7013778146356344	5.746116422116756
855.956380052018	1.5435242149978876	5.985156700015068
852.4026204088276	1.655116692185402	6.306617997586727
855.8775682052692	1.5563482884317636	6.454277962446213
856.7529323324488	1.5161964502185583	6.586863279342651
858.248376405868	1.4012064896523952	6.576017253100872
860.1416958669222	1.2782969065010548	6.606171511113644
857.1874858980588	1.4600253161042929	6.567934848368168
