wavelength(nm)	flourescence PMT(V)	ti_saph Power (V)	Gain (V)
797.9943831745614	0.88016	0.02040000000000002	1.0
802.4575689329586	0.8460133333333333	0.12953333333333344	1.0
801.3977126227014	0.8813733333333331	0.036066666666666705	1.0
804.7422375108168	0.8628266666666665	0.4213999999999999	1.0
801.4011449401975	0.86984	0.03620000000000003	1.0
807.0554231368147	0.8847066666666666	0.30000000000000004	1.0
805.0388674066538	0.8497599999999998	0.4391333333333334	1.0
808.315384547173	0.8681599999999999	0.3000666666666667	1.0
808.014937789597	0.8267333333333333	0.30506666666666665	1.0
810.8373484185249	0.8305333333333332	0.38346666666666657	1.0
807.926903343564	0.8850533333333332	0.3002000000000001	1.0
812.6803631794536	0.85444	0.43713333333333326	1.0
811.7103026770875	0.8658933333333333	0.3947999999999999	1.0
814.743037059891	0.8320933333333332	0.5381333333333334	1.0
814.1641272007881	0.9216266666666667	0.4843333333333334	1.0
817.4228539110919	0.8508266666666666	0.6200000000000001	1.0
816.2316428409152	0.8620533333333333	0.5837333333333334	1.0
817.4238411960109	0.8859466666666667	0.6093333333333334	1.0
819.7973148111992	0.8865866666666666	0.6885333333333333	1.0
818.7155357378227	0.8646933333333334	0.6663333333333334	1.0
820.4977286535446	0.8706133333333332	0.7845333333333334	1.0
822.1116283827816	0.8833733333333333	0.7848	1.0
824.719367126246	0.8831866666666667	0.8666666666666667	1.0
821.7042669966988	0.8951866666666665	0.7967999999999998	1.0
826.7427424070771	0.8790133333333332	0.8803333333333332	1.0
824.0026647797959	0.82856	0.8201999999999998	1.0
828.8633190638641	0.8843066666666668	1.0167333333333335	1.0
825.7187245734792	0.8681333333333331	0.8547999999999998	1.0
828.7855118279726	0.85448	0.9513999999999999	1.0
830.520485164925	0.8810533333333332	0.9423333333333332	1.0
833.2925931027198	0.8562666666666666	1.0065333333333333	1.0
829.9000565998508	0.8222933333333333	1.0487333333333333	1.0
832.987938106926	0.8507199999999998	1.037	1.0
835.7774371599103	0.8585466666666666	1.0469333333333335	1.0
832.1394534578315	0.8440666666666665	1.052	1.0
837.75525665844	0.8689466666666665	1.0917333333333332	1.0
834.5318170963318	0.8424666666666666	1.0258	1.0
839.841217571221	0.8466399999999998	1.0366666666666666	1.0
836.8088526594298	0.8389333333333333	1.0865333333333334	1.0
841.8362099122062	0.8805999999999998	0.815	1.0
839.2167727099701	0.8495733333333332	1.1072	1.0
844.5767666530224	0.7191066666666666	0.5522666666666668	1.0
840.991996865082	0.8397066666666666	0.9052666666666667	1.0
845.8532090240476	0.7819866666666666	0.08606666666666674	1.0
842.7867773845666	0.8229333333333333	0.8271999999999999	1.0
