wavelength(nm)	flourescene PD(V)	ti_saph Power (V)
120.42	0.16160747385583818	0.5952507639303803
909.9708626317462	0.15331542282365263	0.5633872849866748
120.42	0.41730089113116264	1.086406921967864
120.42	0.6899853758513927	1.4737977273762226
784.9211734173571	2.0658705309033394	2.4232044890522957
787.5800569793287	2.0727505646646023	2.433777943253517
788.2272572647662	2.071153562515974	2.4356265403330326
790.629781892028	2.0293245762586594	2.4387440755963326
787.9107827238876	2.0818898119032383	2.4544945247471333
791.0008296811162	2.015820998698473	2.4257288463413715
788.0404072166045	2.0444645918905735	2.4073763452470303
790.8052494229913	2.01156397908926	2.4390683881938457
791.4599617133255	2.0062205269932747	2.4315631315112114
793.5063865012141	1.9363768640905619	2.4167955219745636
791.1758211305814	2.008266407996416	2.42494822666049
792.8456670446202	1.966676652431488	2.4319614432752132
794.3453848606882	1.903688382357359	2.4192841351032257
791.4618726401945	2.0173316709697247	2.4368473887443542
794.6288898719855	1.8937820568680763	2.4214742928743362
792.7582089296606	1.9604181479662657	2.422746963799
797.8225505241733	1.745163906365633	2.3566670455038548
794.6288613539468	1.9038906246423721	2.4353885240852833
797.5373593568509	1.7534880228340626	2.3751243874430656
794.6294864437078	1.9102724399417639	2.442031778395176
797.5342742832711	1.7670643404126167	2.3904148675501347
798.0507946106427	1.7757682856172323	2.401443388313055
796.9763402516895	1.8209836576133966	2.4342650696635246
800.7544401762708	1.712329886853695	2.280795507133007
797.9115216402646	1.756826302036643	2.3753969110548496
799.9799129509605	1.6930352039635181	2.2544197887182236
797.8256433657725	1.7549432069063187	2.366886582225561
801.225048719228	1.6919598504900932	2.238855507224798
798.0943203650862	1.760421086102724	2.372058644890785
801.6071337900615	1.6977867372334003	2.234624408185482
803.7092490430844	1.7076141275465488	2.229578137397766
801.1313777978828	1.6954670771956444	2.25271550193429
804.28925553336	1.7266079150140285	2.2589234337210655
801.4262393483186	1.6922730915248394	2.2417313493788242
804.3857984600669	1.7306330800056458	2.253295097500086
804.8586146119648	1.7597748842090368	2.292143441736698
807.7432827952467	1.9065235070884228	2.460602570325136
804.8601642909055	1.7684381362050772	2.299273803830147
807.7186398180692	1.8751520663499832	2.4229775592684746
804.8605920955446	1.75529096275568	2.2878592684865
807.3617515292326	1.8744553122669458	2.4156338460743427
808.2276114913946	1.8947525918483734	2.432156290858984
806.0178810998267	1.804611649364233	2.341301344335079
810.7534661306629	1.9863930884748697	2.5310393907129765
807.6553098630967	1.8714240994304419	2.4196380712091923
810.7513866679703	2.0028168875724077	2.5542901940643787
807.6543637820685	1.8687246218323708	2.413349959999323
811.3327631025141	2.018171478062868	2.576062384992838
808.2286157356613	1.9024292714893818	2.461890045553446
811.9271818483035	2.008513044565916	2.5490009784698486
813.9852960989919	2.054658256471157	2.6181441843509674
811.5331103519125	2.035094726830721	2.5923110507428646
813.7750756433869	2.061612267047167	2.615978669375181
811.3419877427884	2.029791947454214	2.584740422666073
815.2626249555861	2.067338041961193	2.638341560959816
813.9838884429755	2.066379852592945	2.627070091664791
815.260440168577	2.0578584149479866	2.625143840909004
816.5452300079602	2.0446976721286774	2.6460194922983646
814.7729983196584	2.063996057957411	2.6157665736973286
817.43141148189	2.0863527916371822	2.6931080892682076
814.7730217785195	2.0774071402847767	2.6502691209316254
818.3190608328501	2.0603174045681953	2.6740711331367493
815.2614454673845	2.062637060880661	2.6339821815490723
818.7229395651689	2.051088113337755	2.665213067084551
820.8158799768938	2.040010269731283	2.700396306812763
817.6394615352106	2.0739159360527992	2.670990627259016
821.0726590732633	2.033660501241684	2.7030341401696205
817.7358022424925	2.0658384561538696	2.665807455778122
821.8306014654947	2.041767578572035	2.7219983264803886
818.6234464093313	2.0837445445358753	2.706640012562275
822.2286052145208	2.0438812747597694	2.7283308133482933
824.4769562965523	1.9569022934883833	2.711402639746666
822.2107701355247	2.030884563922882	2.714570753276348
824.3206912680539	1.961398545652628	2.7190546803176403
821.8265769664481	2.0440169386565685	2.7243956699967384
825.6320435013943	1.9003340657800436	2.713718604296446
824.1344646022064	1.9708707761019468	2.718827746808529
827.2574365377532	1.8096480648964643	2.664021775126457
825.1325447498741	1.9250351078808308	2.701828058809042
826.8530917854122	1.8417964074760675	2.705690462142229
828.6950338275127	1.724648341536522	2.625786304473877
825.7351206945408	1.8964100163429976	2.698602009564638
828.2920891024253	1.7407182212918997	2.6386461816728115
829.3956299664791	1.6789705362170935	2.6127760484814644
826.711498312748	1.8532207999378443	2.7020636089146137
831.1323206584158	1.5967257991433144	2.5430076271295547
829.2952688703772	1.6743225939571857	2.6009126491844654
830.9413980392613	1.5910037476569414	2.5396150834858418
832.67599101749	1.5012784041464329	2.444780606776476
829.9200366313395	1.638849524781108	2.570836067199707
832.7753790593207	1.5094532947987318	2.4597615115344524
830.0166874442506	1.635595103725791	2.569278534501791
833.4091105900225	1.4436570219695568	2.3732227832078934
835.4642010222644	1.3914765175431967	2.318524070084095
832.9983446538794	1.4784851241856813	2.418159455060959
835.7771735871655	1.3948456309735775	2.3317686915397644
832.9947167244069	1.478048574179411	2.417293731123209
837.2562349687685	1.3888547364622355	2.295972526073456
834.580142438308	1.4118058681488037	2.349248107522726
837.2550532606674	1.3921794462949038	2.30006430670619
838.289961107714	1.3985427748411894	2.294791106134653
835.772078441545	1.386564677581191	2.3125985637307167
839.44385879742	1.4316468611359596	2.334410209208727
836.8091022977077	1.3990989532321692	2.323493916541338
839.237364201668	1.4190953243523836	2.3221534192562103
839.761431945545	1.4524620827287436	2.365412909537554
837.665932373563	1.3882578667253256	2.2904157042503357
840.9138571309526	1.4483370147645473	2.34548681974411
841.8505750311319	1.4642909597605467	2.3627479635179043
840.6980031097725	1.4349062107503414	2.333526011556387
843.3303633937593	1.4876885134726763	2.3934127800166607
841.5438951618617	1.452381920069456	2.3508858010172844
844.2867708765403	1.486349256709218	2.404971595853567
841.5865122048652	1.4517825860530138	2.357193611562252
844.9242669190909	1.4934389404952526	2.4184011556208134
842.7013693515584	1.482497964054346	2.3896071165800095
845.9271483920991	1.5102018527686596	2.4346140697598457
844.3885106063291	1.5141332987695932	2.4424473643302917
846.9311246353143	1.5116989593952894	2.4451406821608543
844.9177106821888	1.5148325338959694	2.4565342403948307
848.5354340662036	1.5166379362344742	2.477046098560095
845.1291431849328	1.5216139052063227	2.4612734355032444
848.7554370878951	1.5200070440769196	2.4805927872657776
846.0791511702221	1.5258154198527336	2.4654379561543465
849.28839666572	1.5082052983343601	2.473065324127674
852.6227490368062	1.482696507126093	2.517865091562271
849.2856196579792	1.5433823950588703	2.524611935019493
852.5116731264844	1.484279939904809	2.521787904202938
849.152603159698	1.530391851440072	2.5041827149689198
852.4045846334741	1.4852196369320154	2.5240101404488087
854.5702035342488	1.4342587795108557	2.5194879844784737
852.2966601534303	1.4930196478962898	2.516534462571144
854.4346670950123	1.42682627402246	2.5091155357658863
852.4046025016775	1.4789253734052181	2.5028656534850597
854.5415426470792	1.4316419176757336	2.5224353559315205
858.8830918203793	1.3457851391285658	2.5332517586648464
120.42	1.4804237131029367	2.534356724470854
856.3111092226251	1.3627811446785927	2.5134489946067333
856.8606663079925	1.327670631930232	2.491222996264696
120.42	1.4290965870022774	2.515480075031519
858.6861046339045	1.2345626167953014	2.4740925803780556
856.7486092130346	1.355118015781045	2.5285125710070133
858.3828327292545	1.2370438240468502	2.4633970223367214
860.1903054541107	1.1424571946263313	2.410402599722147
857.1529703645576	1.3286584336310625	2.5187604054808617
859.8103708814926	1.1527791004627943	2.4121623896062374
860.3701492581122	1.1284369137138128	2.40075895935297
861.1321331155784	1.0611583311110735	2.313495099544525
864.0087446587568	0.9244677079841495	2.0944832749664783
861.0256196688829	1.0847914200276136	2.352763958275318
864.1202377913735	0.9203278459608555	2.084911175072193
860.9140102807238	1.0861824750900269	2.349774695932865
864.0087450158142	0.9247834160923958	2.0959026999771595
860.6912112229536	1.096127025783062	2.3674008436501026
864.4168340967483	0.8944195033982396	2.0259826108813286
867.9066490598885	0.8029639823362231	1.7894395720213652
864.2249755760197	0.9227979565039277	2.094135507941246
866.4518595271725	0.8200734294950962	1.852758351713419
864.1191936504991	0.9366739485412836	2.120301604270935
868.0162006481148	0.8036656733602285	1.799401381984353
864.3398640579401	0.9128608135506511	2.0820735581219196
868.1336027229721	0.8080225735902786	1.8065527323633432
868.8060795257633	0.7709512757137418	1.7178953308612108
871.839272704974	0.7728134104982018	1.668865667656064
868.5766656500741	0.7919416129589081	1.7729874160140753
871.7309383038482	0.7724829101935029	1.6681380849331617
868.3587807841334	0.7922166204079986	1.7766167242079973
872.2968241740009	0.7603371059522033	1.6420842185616493
870.2637499411384	0.7812164546921849	1.7142499927431345
872.4038549431458	0.763024253770709	1.6436133831739426
870.263379065279	0.7679299311712384	1.6896291058510542
873.1360245520526	0.7172527145594358	1.552985342219472
876.2696590021367	0.7096327561885118	1.5023056622594595
872.9744514214531	0.742302754893899	1.6018756441771984
876.1286478668176	0.7166484398767352	1.5162038505077362
872.4077079853205	0.7512262053787708	1.6254039220511913
876.0126048256882	0.7102444255724549	1.5199601780623198
872.4052796586078	0.7617614539340138	1.64593674428761
876.3850267824253	0.7095858920365572	1.504479793831706
876.953565133186	0.6935937227681279	1.4679375495761633
880.170022409884	0.6828685626387596	1.4573665261268616
876.4447329611733	0.7150045838207006	1.5197887662798166
879.9351253943549	0.6827107137069106	1.4556178487837315
876.3866816660765	0.7153930366039276	1.521671861410141
879.7927944480026	0.6851327205076814	1.4719207789748907
880.2817337380995	0.6970232585445046	1.4878944531083107
881.027799065562	0.6721495725214481	1.4300683606415987
880.2871020506426	0.6872377991676331	1.4695690665394068
884.1096770802449	0.6072806529700756	1.3358627948909998
880.8636153974602	0.6786115448921919	1.4480435252189636
884.2250957729918	0.6137746991589665	1.3499681670218706
880.8626110656751	0.6823814464733005	1.454875459894538
884.1079016599358	0.6170920096337795	1.3687745071947575
880.8613583466853	0.6826404239982367	1.4525323696434498
884.5716221341221	0.5952840568497777	1.319292252883315
886.5580830133852	0.5252443375065923	1.2061311453580856
884.6865557502321	0.607169664464891	1.3421114347875118
886.557029080618	0.5244624819606543	1.2036388292908669
884.2276517213086	0.615429655648768	1.3578569646924734
888.5455542228441	0.49125604005530477	1.1825042124837637
884.8072270922551	0.5937844878062606	1.3216439709067345
888.3163610771481	0.4825940281152725	1.1624560467898846
888.9045506214004	0.46061465982347727	1.124613992869854
886.5549599502006	0.5348633090034127	1.2271202430129051
890.5533782077945	0.4167595165781677	1.0774662010371685
888.3149895732457	0.4914237577468157	1.182690430432558
892.3258376521466	0.37298206333070993	1.0364141203463078
888.5469258020167	0.48245960799977183	1.1618751976639032
892.3246415811149	0.36691594310104847	1.0192171167582273
888.5469104712457	0.4823005245998502	1.1626508887857199
892.7978778028762	0.3565595084801316	1.011190202087164
894.8202493341842	0.29404478054493666	0.9239485329017043
892.6788831009765	0.3623259626328945	1.021995523944497
894.819006156121	0.2904006661847234	0.9133614925667644
892.6788951803642	0.3592959837988019	1.0244261603802443
897.0901746585438	0.25248215813189745	0.8694015238434076
893.5066184310103	0.3224688624031842	0.9559168368577957
897.0901799219065	0.25530496099963784	0.8813944207504392
893.5068674723221	0.33012704690918326	0.9699593158438802
897.0314503481127	0.2531468556262553	0.8727915938943624
897.9295793736356	0.23794517014175653	0.8419233039021492
900.8784655470969	0.19907956290990114	0.7377559328451753
897.0901627983186	0.2509690201841295	0.8728606570512056
900.7589160280188	0.20098732621409	0.7495515188202262
897.0889598325274	0.2568809920921922	0.8880043821409345
901.3042676896433	0.19525293563492596	0.7275080187246203
897.0901935148902	0.2516028839163482	0.8678156221285462
901.3042122040829	0.1962518293876201	0.7300891196355224
903.1183244812063	0.170751670608297	0.6417313972488046
901.3029919282027	0.20320709142833948	0.7593024456873536
905.191228359388	0.16330559481866658	0.610404359176755
901.670962365216	0.18971585715189576	0.7085857652127743
905.1899952050884	0.16433655098080635	0.613304846920073
901.665674724079	0.19202564610168338	0.7176177389919758
905.1913734016036	0.1632538007106632	0.6102711707353592
901.5469535687267	0.193662105826661	0.7250699829310179
905.8007524290394	0.16061967937275767	0.5965875536203384
907.8814715332912	0.15861449134536088	0.5877713933587074
905.7995230132401	0.16353620262816548	0.6086889691650867
907.8829421311709	0.15506903501227498	0.5746957520022988
905.7995147560388	0.1677056602202356	0.6219027321785688
909.8498648384652	0.15859846072271466	0.5832529375329614
906.1645764012263	0.15725180273875594	0.5849892878904939
909.851155746626	0.16019792458973825	0.5898111071437597
906.1645492283974	0.15926069114357233	0.5908716628327966
910.5895347444073	0.1532808921765536	0.5630715833976865
907.881447936813	0.15499380906112492	0.5749473217874765
911.2076408621467	0.14321302785538137	0.5237546237185597
914.1868457787095	0.13901397306472063	0.5230467626824975
910.5907985214109	0.14679671358317137	0.5388995818793774
914.1867665949392	0.14237815071828663	0.5320022813975811
910.5882161785167	0.14926435123197734	0.5483249463140965
914.1854638176455	0.14272961299866438	0.5378649272024632
910.4647314830233	0.15344860823825002	0.5630925465375185
916.8041249992591	0.11782262357883155	0.4696934982202947
914.186767590476	0.13490370893850923	0.5078290505334735
