# Angle (deg)	Cutoff (nm)
0.0000	953.9513
1.0000	953.8958
2.0000	953.7293
3.0000	953.4519
4.0000	953.0640
5.0000	952.5658
6.0000	951.9578
7.0000	951.2405
8.0000	950.4145
9.0000	949.4806
10.0000	948.4396
11.0000	947.2924
12.0000	946.0399
13.0000	944.6834
14.0000	943.2241
15.0000	941.6631
16.0000	940.0020
17.0000	938.2423
18.0000	936.3854
19.0000	934.4332
20.0000	932.3874
21.0000	930.2498
22.0000	928.0226
23.0000	925.7077
24.0000	923.3072
25.0000	920.8236
26.0000	918.2591
27.0000	915.6162
28.0000	912.8975
29.0000	910.1056
30.0000	907.2432
31.0000	904.3132
32.0000	901.3186
33.0000	898.2622
34.0000	895.1473
35.0000	891.9770
36.0000	888.7547
37.0000	885.4837
38.0000	882.1675
39.0000	878.8095
40.0000	875.4136
