# Angle (deg)	Cutoff (nm)
0.0000	852.3420
1.0000	852.2974
2.0000	852.1636
3.0000	851.9407
4.0000	851.6290
5.0000	851.2287
6.0000	850.7401
7.0000	850.1638
8.0000	849.5002
9.0000	848.7500
10.0000	847.9139
11.0000	846.9925
12.0000	845.9868
13.0000	844.8976
14.0000	843.7261
15.0000	842.4732
16.0000	841.1402
17.0000	839.7282
18.0000	838.2386
19.0000	836.6729
20.0000	835.0325
21.0000	833.3189
22.0000	831.5338
23.0000	829.6790
24.0000	827.7561
25.0000	825.7672
26.0000	823.7141
27.0000	821.5990
28.0000	819.4238
29.0000	817.1907
30.0000	814.9021
31.0000	812.5603
32.0000	810.1676
33.0000	807.7266
34.0000	805.2397
35.0000	802.7097
36.0000	800.1391
37.0000	797.5308
38.0000	794.8876
39.0000	792.2123
40.0000	789.5080
