wavelength(nm)	flourescence PMT(V)	ti_saph Power (V)	Gain (V)
800.4335727018725	0.09903333333333329	1.16	1.0
800.4335727018725	0.0972333333333333	1.2204000000000004	1.0
800.8089715412808	0.10299999999999997	1.2302666666666668	1.0
800.8128616535545	0.0921333333333333	1.1574666666666666	1.0
801.0956099958763	0.09463333333333329	1.0865333333333334	1.0
801.0940474475152	0.09416666666666662	1.1077333333333335	1.0
801.0940474475152	0.09309999999999996	1.0797333333333334	1.0
801.0973702289681	0.09266666666666663	1.08	1.0
801.189656944786	0.08816666666666663	1.1101333333333334	1.0
801.1930060423281	0.09456666666666662	1.161066666666667	1.0
801.2799457670119	0.09456666666666662	1.246266666666667	1.0
801.2799457670119	0.09906666666666662	1.2256000000000002	1.0
801.2812453787333	0.09626666666666663	1.2256000000000002	1.0
801.3889299203252	0.09653333333333329	1.163866666666667	1.0
801.3889299203252	0.09239999999999995	1.0865333333333334	1.0
802.6241821036757	0.08683333333333329	1.1486666666666667	1.0
802.7200175347606	0.0958333333333333	1.1836000000000002	1.0
802.7200175347606	0.10169999999999997	1.3185333333333338	1.0
802.7210162248606	0.09746666666666663	1.2996000000000003	1.0
802.904696602946	0.10016666666666664	1.1766666666666667	1.0
803.484329964862	0.09259999999999996	1.1604	1.0
804.0570887914299	0.09486666666666663	1.2408000000000001	1.0
804.0570887914299	0.09486666666666663	1.2401333333333335	1.0
803.9660223802368	0.09636666666666663	1.182666666666667	1.0
804.3280907464996	0.09869999999999995	1.182666666666667	1.0
804.1524209007749	0.0929333333333333	1.1716000000000002	1.0
804.3461655717144	0.09816666666666662	1.171066666666667	1.0
804.3461655717144	0.09429999999999997	1.16	1.0
804.4333918204034	0.09546666666666662	1.16	1.0
804.3923846332477	0.09629999999999996	1.1081333333333334	1.0
804.7292216103783	0.09949999999999996	1.1297333333333335	1.0
804.7227404971801	0.09536666666666661	1.1585333333333336	1.0
804.7227404971801	0.09426666666666662	1.1625333333333332	1.0
804.6268658206692	0.0954333333333333	1.1908000000000003	1.0
804.8258851176853	0.0954333333333333	1.2757333333333336	1.0
805.7860046902853	0.09803333333333329	1.2133333333333336	1.0
806.0709522895007	0.09706666666666663	1.2133333333333336	1.0
806.0709405292112	0.09686666666666661	1.3086666666666669	1.0
806.0709405292112	0.09539999999999996	1.3177333333333334	1.0
806.0743501743216	0.10449999999999995	1.2965333333333335	1.0
806.2576087995462	0.09879999999999997	1.2701333333333336	1.0
806.2576087995462	0.09976666666666664	1.241866666666667	1.0
807.0316212041772	0.10453333333333328	1.2597333333333336	1.0
807.0316212041772	0.10169999999999996	1.276666666666667	1.0
807.5142051113532	0.09763333333333328	1.16	1.0
807.710279345196	0.09883333333333329	1.16	1.0
807.710279345196	0.09883333333333329	1.1604	1.0
807.7154472160064	0.09819999999999995	1.2078666666666669	1.0
807.7154472160064	0.09369999999999995	1.2078666666666669	1.0
807.8095686168405	0.09829999999999996	1.337866666666667	1.0
807.8044485640887	0.10036666666666663	1.3206666666666669	1.0
808.0834786768828	0.10416666666666662	1.3145333333333338	1.0
807.9986090157308	0.10449999999999995	1.2526666666666668	1.0
807.9986090157308	0.10006666666666662	1.2384000000000004	1.0
807.9985908916267	0.10016666666666664	1.241466666666667	1.0
808.1032663426339	0.10099999999999995	1.2714666666666667	1.0
808.1045615726	0.10506666666666663	1.2490666666666668	1.0
808.2919101982344	0.0989333333333333	1.2268000000000003	1.0
808.2919101982344	0.0989333333333333	1.2849333333333335	1.0
808.2919101982344	0.09646666666666662	1.294666666666667	1.0
809.362150867891	0.1079333333333333	1.2361333333333335	1.0
809.4525126475213	0.09609999999999998	1.2361333333333335	1.0
809.4525126475213	0.09876666666666663	1.2344000000000002	1.0
809.9375907028908	0.10106666666666662	1.2206666666666668	1.0
809.9375907028908	0.10246666666666662	1.2409333333333337	1.0
810.2357062004073	0.10156666666666662	1.2053333333333336	1.0
810.2357062004073	0.10056666666666662	1.297066666666667	1.0
810.6213761061762	0.10099999999999996	1.4024	1.0
811.1065225452934	0.09699999999999996	1.348666666666667	1.0
811.1065225452934	0.11119999999999995	1.4406666666666665	1.0
811.1065221204493	0.10663333333333329	1.4789333333333332	1.0
811.1056435324714	0.10663333333333329	1.4594666666666667	1.0
811.4089582246127	0.10249999999999995	1.3246666666666669	1.0
811.4977650809479	0.10099999999999995	1.3246666666666669	1.0
811.4977650809479	0.09959999999999997	1.3092000000000004	1.0
811.4075799480026	0.10526666666666662	1.3264000000000002	1.0
811.4999490165831	0.09879999999999996	1.279866666666667	1.0
811.5017022664192	0.09179999999999995	1.1673333333333336	1.0
811.5017022664192	0.09776666666666664	1.16	1.0
811.7946411908224	0.09639999999999996	1.16	1.0
811.7946411908224	0.0963333333333333	1.1600000000000001	1.0
812.6820656695994	0.10126666666666663	1.3604000000000003	1.0
812.6799826585836	0.09803333333333329	1.3257333333333337	1.0
813.1592492289034	0.09619999999999997	1.2762666666666669	1.0
813.0680516414826	0.09619999999999997	1.2752000000000001	1.0
813.0680516414826	0.09859999999999995	1.3674666666666668	1.0
814.0423843288937	0.10339999999999995	1.3674666666666668	1.0
814.0438555026941	0.09689999999999996	1.3321333333333336	1.0
814.0469371195768	0.09229999999999995	1.2945333333333338	1.0
814.5330303982627	0.09853333333333329	1.3085333333333335	1.0
814.5330303982627	0.09976666666666661	1.3977333333333333	1.0
814.739226773899	0.0998333333333333	1.4052	1.0
814.739226773899	0.09846666666666662	1.438133333333333	1.0
814.7370245257611	0.10156666666666662	1.4534666666666665	1.0
814.7360625559866	0.09973333333333328	1.4249333333333332	1.0
814.7360625559866	0.1009333333333333	1.4028	1.0
815.1326994971529	0.09849999999999996	1.2206666666666668	1.0
815.1309795439926	0.09849999999999996	1.3020000000000003	1.0
815.3201176542516	0.10009999999999997	1.3704000000000003	1.0
815.3200548659377	0.09809999999999995	1.3704000000000003	1.0
816.2095323841647	0.10516666666666663	1.3766666666666671	1.0
816.2095323841647	0.09199999999999996	1.2884000000000002	1.0
816.2042585562172	0.09399999999999996	1.16	1.0
816.2053746622199	0.08986666666666662	1.16	1.0
816.8128756679884	0.09646666666666663	1.260666666666667	1.0
817.5764494117459	0.09453333333333329	1.357466666666667	1.0
817.5764494117459	0.09126666666666662	1.3022666666666671	1.0
817.4004747893915	0.09639999999999996	1.3000000000000005	1.0
817.4953676425617	0.08943333333333328	1.1957333333333333	1.0
817.4951475301793	0.08943333333333328	1.1828	1.0
818.1944527812133	0.09403333333333329	1.2133333333333336	1.0
818.1944527812133	0.08969999999999996	1.2133333333333336	1.0
818.1944527812133	0.09443333333333329	1.3200000000000003	1.0
818.2921350883494	0.09223333333333329	1.2381333333333335	1.0
818.4966613155584	0.0887333333333333	1.193466666666667	1.0
818.5900309548903	0.08966666666666662	1.2574666666666667	1.0
818.5900309548903	0.09766666666666664	1.2561333333333335	1.0
818.594539443271	0.09199999999999996	1.2401333333333335	1.0
818.5931687076503	0.09076666666666662	1.3188000000000004	1.0
819.3913169369561	0.09313333333333328	1.3893333333333335	1.0
819.7883730174876	0.0886333333333333	1.3520000000000003	1.0
819.7883730174876	0.09029999999999996	1.3844	1.0
819.7924779446421	0.09029999999999996	1.3788000000000002	1.0
819.7883354432686	0.09519999999999997	1.3112000000000001	1.0
820.4961685636256	0.08986666666666662	1.3112000000000001	1.0
820.6847956517519	0.09373333333333331	1.363866666666667	1.0
820.7819312402082	0.09389999999999994	1.3525333333333336	1.0
820.7819312402082	0.08709999999999996	1.3201333333333336	1.0
820.9935349580528	0.09436666666666663	1.337866666666667	1.0
821.0854174774851	0.09223333333333329	1.4145333333333334	1.0
821.0854174774851	0.08829999999999996	1.4653333333333332	1.0
821.8880386607904	0.09213333333333329	1.48	1.0
821.8880386607904	0.09519999999999995	1.48	1.0
821.8909467081287	0.0879333333333333	1.4590666666666667	1.0
821.8890520047016	0.08916666666666662	1.3997333333333335	1.0
821.9844189916946	0.08916666666666662	1.3974666666666666	1.0
821.8900861140743	0.09163333333333329	1.3434666666666668	1.0
821.8900861140743	0.08786666666666662	1.3434666666666668	1.0
822.1922846263445	0.08676666666666662	1.3200000000000003	1.0
822.1950705999917	0.08266666666666662	1.3193333333333335	1.0
822.69138117135	0.08709999999999996	1.3133333333333337	1.0
823.5001594296708	0.09023333333333329	1.342	1.0
823.4980267148201	0.08679999999999996	1.4790666666666668	1.0
823.4980267148201	0.09089999999999997	1.48	1.0
823.9077505536651	0.08496666666666662	1.4797333333333331	1.0
823.9948674840457	0.08783333333333329	1.4587999999999999	1.0
824.0986011464182	0.08646666666666662	1.4584	1.0
824.0943077176304	0.08953333333333328	1.3953333333333333	1.0
824.0943077176304	0.08953333333333328	1.3649333333333333	1.0
824.4009427629485	0.0860333333333333	1.3649333333333333	1.0
824.4972181073799	0.08576666666666662	1.2981333333333336	1.0
824.7126747906723	0.08176666666666663	1.2490666666666668	1.0
824.8084844402429	0.08236666666666662	1.4257333333333335	1.0
824.8084844402429	0.08029999999999994	1.3872	1.0
825.2114522427952	0.08453333333333328	1.364	1.0
825.3094618936833	0.08096666666666662	1.4067999999999998	1.0
825.3094618936833	0.08733333333333328	1.4809333333333332	1.0
825.6160526159719	0.08716666666666663	1.4834666666666667	1.0
825.6151359626434	0.0866333333333333	1.4298666666666666	1.0
825.6151359626434	0.08709999999999996	1.3940000000000001	1.0
825.7146148034483	0.08709999999999996	1.319866666666667	1.0
825.717899641709	0.08329999999999996	1.3201333333333336	1.0
826.4237203994577	0.08296666666666662	1.3201333333333336	1.0
826.4237203994577	0.08316666666666662	1.4538666666666666	1.0
826.4237203994577	0.08333333333333329	1.4405333333333332	1.0
827.027904430893	0.08259999999999995	1.3390666666666668	1.0
827.0278592368202	0.08306666666666661	1.3981333333333332	1.0
827.3415388622919	0.08303333333333329	1.3896	1.0
827.7449392151597	0.08179999999999996	1.3696000000000002	1.0
827.7449392151597	0.07906666666666662	1.3226666666666669	1.0
827.8440209684777	0.08276666666666663	1.4742666666666666	1.0
827.9402322228825	0.08669999999999997	1.482	1.0
828.2518406047516	0.08269999999999995	1.5401333333333334	1.0
828.7584213219986	0.08269999999999995	1.393866666666667	1.0
828.8610085121486	0.08056666666666662	1.3356000000000001	1.0
828.8610085121486	0.07713333333333329	1.3356000000000001	1.0
828.7583042083695	0.08176666666666663	1.4137333333333333	1.0
829.2661754191622	0.07896666666666662	1.4714666666666665	1.0
829.3748312487999	0.08106666666666662	1.4013333333333333	1.0
829.4770967432681	0.08243333333333329	1.454	1.0
829.4770967432681	0.0788333333333333	1.5526666666666669	1.0
829.4988570914868	0.08436666666666663	1.4512	1.0
