wavelength(nm)	flourescence PMT(V)	ti_saph Power (V)	Gain (V)
780.0878097275266	0.20693333333333325	4.931333333333333	1.0
780.0878097275266	0.20643333333333327	4.931333333333333	1.0
780.0878097275266	0.19693333333333324	4.995333333333333	1.0
780.6213541541284	0.21166666666666656	5.093466666666666	1.0
780.6213541541284	0.2118999999999999	5.230933333333333	1.0
780.9839505018467	0.20166666666666658	5.104533333333333	1.0
780.9839505018467	0.19796666666666657	4.945733333333334	1.0
781.3497006645896	0.21023333333333324	5.197466666666666	1.0
781.3497006645896	0.21143333333333322	5.234533333333333	1.0
781.3497006645896	0.20343333333333324	5.24	1.0
781.4327832435011	0.19843333333333324	4.8948	1.0
781.4327832435011	0.19186666666666657	4.875066666666666	1.0
781.520752024722	0.19186666666666657	4.888266666666666	1.0
781.520752024722	0.2003999999999999	4.932133333333333	1.0
781.7951914060045	0.2073999999999999	4.932133333333333	1.0
781.7951914060045	0.20699999999999993	5.015466666666666	1.0
781.7951914060045	0.20366666666666658	5.097866666666667	1.0
782.9736502320114	0.20186666666666658	4.8562666666666665	1.0
782.9736502320114	0.20589999999999992	5.175733333333333	1.0
783.3752877090114	0.20626666666666657	5.2834666666666665	1.0
783.3752877090114	0.21006666666666657	5.036133333333334	1.0
783.3752877090114	0.19909999999999992	4.848800000000001	1.0
783.3359409505741	0.19699999999999993	4.854533333333333	1.0
783.3359409505741	0.20509999999999992	5.226933333333333	1.0
783.7894679765183	0.2115333333333332	5.131466666666667	1.0
783.7894679765183	0.2115333333333332	5.067466666666666	1.0
783.7894679765183	0.2049999999999999	5.316533333333333	1.0
783.7894679765183	0.2148999999999999	5.316533333333333	1.0
783.7894679765183	0.2086333333333332	5.146533333333333	1.0
784.5205632426806	0.19966666666666658	5.089066666666667	1.0
784.5205632426806	0.19976666666666656	4.828533333333334	1.0
784.6085694515124	0.18793333333333326	4.581200000000001	1.0
784.6085694515124	0.20283333333333325	4.760933333333334	1.0
784.8844518696257	0.2057999999999999	4.876533333333333	1.0
784.8844518696257	0.2036999999999999	4.834533333333333	1.0
784.8844518696257	0.2097999999999999	4.948933333333333	1.0
784.9712015819921	0.21473333333333325	5.353733333333333	1.0
784.9712015819921	0.21473333333333325	5.305733333333333	1.0
786.0748816837637	0.2047999999999999	4.798266666666667	1.0
786.0748816837637	0.20233333333333325	4.798266666666667	1.0
786.0713945307272	0.20323333333333324	4.7828	1.0
786.0713945307272	0.21603333333333324	5.180133333333333	1.0
786.0713945307272	0.20939999999999992	5.196533333333334	1.0
786.6179039399061	0.21809999999999993	5.2084	1.0
786.6179039399061	0.21853333333333325	5.081466666666667	1.0
786.6179039399061	0.21673333333333328	5.293066666666667	1.0
786.6179039399061	0.21996666666666656	5.3832	1.0
786.6179039399061	0.22149999999999992	5.502666666666667	1.0
787.6367270463948	0.20786666666666656	5.066933333333333	1.0
787.6367270463948	0.20816666666666658	4.998266666666667	1.0
787.7221186431846	0.20816666666666658	4.954933333333333	1.0
787.7221186431846	0.21539999999999992	4.908133333333334	1.0
787.7217689011622	0.20409999999999992	4.908133333333334	1.0
787.7217689011622	0.19996666666666654	4.800133333333333	1.0
787.7217689011622	0.20436666666666659	4.819466666666667	1.0
787.9983377032106	0.20143333333333324	4.6968	1.0
787.9983377032106	0.21083333333333323	4.898266666666666	1.0
788.1773969355554	0.2209999999999999	5.4452	1.0
788.1773969355554	0.2297333333333333	5.592133333333332	1.0
789.2851489566729	0.22306666666666652	5.395599999999999	1.0
789.2851489566729	0.21503333333333322	5.163866666666667	1.0
789.2851489566729	0.22236666666666655	5.392399999999999	1.0
789.3745202802743	0.23113333333333325	5.4807999999999995	1.0
789.3745202802743	0.23113333333333325	5.1616	1.0
789.6542535408362	0.2187999999999999	5.16	1.0
789.6542535408362	0.22383333333333325	5.296666666666667	1.0
790.4841556869821	0.22813333333333324	5.296666666666667	1.0
790.4841556869821	0.22909999999999986	5.499733333333333	1.0
790.4841556869821	0.22076666666666658	5.0924000000000005	1.0
790.8581940780433	0.23486666666666656	5.480266666666666	1.0
790.8581940780433	0.24266666666666656	5.550933333333332	1.0
790.9478383719744	0.22389999999999988	5.13	1.0
790.9478383719744	0.22206666666666658	4.8886666666666665	1.0
791.2317184633965	0.21769999999999992	4.852399999999999	1.0
791.2317184633965	0.2108666666666666	4.7860000000000005	1.0
791.2317184633965	0.21656666666666657	4.878933333333333	1.0
791.3184880192565	0.21656666666666657	5.278266666666667	1.0
791.3184880192565	0.2221666666666666	5.606000000000001	1.0
791.6022539302858	0.23819999999999994	5.606000000000001	1.0
791.6022539302858	0.2532999999999999	5.862399999999999	1.0
791.6022539302858	0.23813333333333322	5.4568	1.0
792.5240091798389	0.23893333333333322	5.5952	1.0
792.5240091798389	0.24169999999999991	5.717199999999999	1.0
792.8122461513564	0.25629999999999986	5.8548	1.0
792.8122461513564	0.23469999999999988	5.561599999999999	1.0
793.1846985611194	0.24109999999999995	5.5344	1.0
793.1846985611194	0.23986666666666656	5.412533333333332	1.0
793.1846985611194	0.24136666666666656	5.3824	1.0
794.0214751730076	0.24346666666666655	5.7867999999999995	1.0
794.0214751730076	0.24346666666666655	5.987333333333334	1.0
794.1992706633623	0.25463333333333327	5.4716000000000005	1.0
794.1992706633623	0.25159999999999993	5.4716000000000005	1.0
794.2916544712328	0.25156666666666655	5.653199999999999	1.0
794.2916544712328	0.2496999999999999	5.721466666666666	1.0
794.2916544712328	0.24843333333333326	5.714933333333334	1.0
794.5761353344864	0.25363333333333327	5.809333333333333	1.0
794.5761353344864	0.25673333333333326	5.8336	1.0
794.6644110368561	0.2518333333333333	5.700399999999999	1.0
794.6644110368561	0.2399999999999999	5.356533333333332	1.0
795.7899755603021	0.2527666666666666	5.432533333333334	1.0
795.7899755603021	0.2632333333333332	5.906666666666666	1.0
795.7899755603021	0.2756666666666666	6.2139999999999995	1.0
795.9871135823157	0.2756666666666666	6.226533333333333	1.0
795.9871135823157	0.2793666666666666	5.713333333333333	1.0
796.1717126147431	0.2599999999999999	5.713333333333333	1.0
796.1717126147431	0.23513333333333325	5.071466666666667	1.0
796.8321987819853	0.23636666666666656	4.999733333333333	1.0
796.8321987819853	0.2520333333333332	5.4723999999999995	1.0
796.8321987819853	0.24806666666666663	5.235333333333333	1.0
797.2989848572017	0.25623333333333326	5.6390666666666664	1.0
797.2989848572017	0.2797333333333333	6.021066666666666	1.0
797.5865075215017	0.27083333333333326	5.868266666666666	1.0
797.5865075215017	0.26143333333333324	5.609866666666665	1.0
797.6785967559755	0.2543666666666666	5.475333333333333	1.0
797.6785967559755	0.25493333333333323	5.4088	1.0
797.6785967559755	0.25493333333333323	5.660399999999999	1.0
797.7693916840286	0.26569999999999994	6.2325333333333335	1.0
797.7693916840286	0.28863333333333324	6.2325333333333335	1.0
797.9238018607103	0.28546666666666665	6.2456	1.0
797.9238018607103	0.27966666666666656	6.0116000000000005	1.0
797.9238018607103	0.27103333333333324	6.017866666666667	1.0
798.0567399078651	0.27393333333333325	5.8416	1.0
798.0567399078651	0.27733333333333327	5.652933333333333	1.0
799.1893774623485	0.28243333333333326	5.8824	1.0
799.1893774623485	0.26159999999999994	5.6596	1.0
799.3774475727564	0.2724999999999999	5.697733333333334	1.0
799.3774475727564	0.26443333333333324	5.568266666666667	1.0
799.3774475727564	0.26443333333333324	5.5225333333333335	1.0
799.8493295053718	0.2651333333333333	5.7668	1.0
799.8493295053718	0.27243333333333325	5.7668	1.0
800.516586209743	0.2822666666666666	5.755066666666667	1.0
800.516586209743	0.3055666666666666	6.358933333333335	1.0
800.93845579149	0.30373333333333324	5.9643999999999995	1.0
800.93845579149	0.2704666666666666	5.5556	1.0
800.93845579149	0.2704999999999999	5.398933333333333	1.0
801.0803466124064	0.2858333333333332	5.771733333333334	1.0
801.0803466124064	0.29413333333333325	6.0684	1.0
801.176878872581	0.3043999999999999	6.094533333333334	1.0
801.176878872581	0.2995666666666666	5.939866666666667	1.0
801.3686201786179	0.30013333333333325	6.193733333333333	1.0
801.3686201786179	0.30013333333333325	5.851466666666667	1.0
801.3686201786179	0.2975999999999999	5.851466666666667	1.0
801.368694118333	0.29713333333333325	5.7968	1.0
